att_laser,,att_control,,att_laser_curve,,att_control_curve,
X,Y,X,Y,X,Y,X,Y
0.006849315068492956,13.15789473684211,0,15.789473684210535,0.006849315068492956,18.201754385964918,0.006849315068492956,20.6140350877193
0.993150684931507,70.39473684210526,0.993150684931507,76.3157894736842,0.3698630136986303,36.62280701754386,0.1643835616438345,29.60526315789474
1.9794520547945202,77.85087719298245,1.9794520547945202,82.67543859649122,0.602739726027397,47.80701754385965,0.4246575342465748,43.85964912280702
2.965753424657535,88.1578947368421,2.965753424657535,86.40350877192982,0.7739726027397262,55.48245614035088,0.7534246575342465,58.44298245614035
3.965753424657535,89.03508771929823,3.965753424657535,89.4736842105263,1.0753424657534243,65.35087719298245,0.9657534246575343,66.50219298245614
,,,,1.4794520547945211,75.43859649122807,1.1369863013698627,71.9298245614035
,,,,1.9726027397260273,82.01754385964912,1.4452054794520555,78.94736842105263
,,,,2.506849315068494,85.96491228070175,1.8150684931506857,83.7719298245614
,,,,3.0702054794520546,88.1578947368421,2.212328767123288,86.18421052631578
,,,,3.582191780821919,88.98026315789473,2.589041095890412,87.28070175438596
,,,,3.965753424657535,89.03508771929823,2.883561643835618,87.93859649122805
,,,,,,3.3287671232876725,88.54166666666666
,,,,,,3.684931506849315,89.03508771929823
,,,,,,3.9674657534246585,89.4736842105263
