att_laser,,unatt_laser,
X,Y,X,Y
-145.22292993630572,0.128,-142.67515923566876,0.11428571428571421
-119.74522292993628,0.1268571428571429,-115.92356687898088,0.11314285714285721
-96.8152866242038,0.11542857142857144,-86.62420382165602,0.10971428571428565
-61.14649681528661,0.10971428571428565,-48.4076433121019,0.11542857142857144
-33.12101910828025,0.12114285714285722,-26.751592356687894,0.11428571428571421
-10.191082802547754,0.13942857142857146,-2.5477707006369315,0.13828571428571423
8.917197452229317,0.2102857142857143,15.286624203821674,0.248
24.203821656050962,0.2925714285714286,34.394904458598745,0.368
36.94267515923568,0.38057142857142845,53.50318471337579,0.45142857142857135
57.324840764331185,0.4651428571428571,72.61146496815286,0.4868571428571428
73.88535031847135,0.4937142857142857,96.8152866242038,0.4468571428571428
110.828025477707,0.40800000000000003,108.28025477707007,0.40228571428571425
146.49681528662416,0.38742857142857146,124.84076433121021,0.38628571428571423
164.3312101910828,0.4205714285714285,154.140127388535,0.41142857142857137
191.0828025477707,0.5165714285714285,178.343949044586,0.4834285714285714
225.47770700636943,0.6217142857142857,214.01273885350315,0.5657142857142856
240.76433121019107,0.641142857142857,229.2993630573248,0.5908571428571427
264.968152866242,0.6102857142857142,240.76433121019107,0.5977142857142856
278.9808917197452,0.584,261.14649681528664,0.5782857142857143
307.0063694267515,0.5702857142857143,287.8980891719745,0.5611428571428572
329.9363057324841,0.584,318.4713375796178,0.5417142857142856
347.77070063694265,0.625142857142857,336.3057324840764,0.5668571428571427
370.7006369426751,0.6171428571428571,347.77070063694265,0.5862857142857143
383.4394904458598,0.5851428571428571,378.34394904458594,0.5714285714285714
396.1783439490445,0.5428571428571428,392.3566878980891,0.5508571428571427
412.73885350318466,0.4891428571428571,403.82165605095537,0.48799999999999993
425.47770700636937,0.43885714285714283,430.25477707006354,0.40457142857142836
453.5031847133758,0.40914285714285714,459.8726114649681,0.3451428571428571
487.8980891719744,0.3771428571428571,486.62420382165595,0.34171428571428564
510.82802547770694,0.3622857142857142,513.3757961783438,0.3234285714285714
524.84076433121,0.34285714285714286,547.7707006369426,0.3097142857142857
561.7834394904457,0.3234285714285714,608.9171974522292,0.24914285714285722
592.3566878980891,0.2937142857142857,653.5031847133757,0.19999999999999996
615.2866242038217,0.26857142857142857,694.2675159235669,0.1737142857142857
635.6687898089172,0.24914285714285722,714.6496815286623,0.16342857142857148
647.1337579617834,0.23428571428571432,742.6751592356688,0.17028571428571426
681.528662420382,0.24685714285714289,771.9745222929935,0.1817142857142856
713.3757961783438,0.22742857142857142,802.5477707006369,0.1874285714285714
742.6751592356688,0.2182857142857142,,
768.1528662420383,0.1885714285714286,,
799.9999999999998,0.1645714285714286,,
