att_control,,unatt_control,
X,Y,X,Y
-141.55323667928715,0.04343891402714939,-142.2679841167237,0.08506787330316734
-118.24360513436153,0.04705882352941171,-128.78751500600248,0.08597285067873306
-96.10305660725834,0.05520361990950229,-116.21017637824366,0.11312217194570129
-70.38877089297262,0.05520361990950229,-69.81254040077579,0.10226244343891411
-45.688429217841076,0.07239819004524883,-40.225320897589825,0.11855203619909505
-22.256902761104527,0.08597285067873306,-1.0305660725829853,0.11945701357466065
9.502262443438838,0.0796380090497738,31.79794994921042,0.10045248868778278
32.656755009696155,0.07058823529411762,49.821774863791575,0.07239819004524883
73.07599963062148,0.07149321266968334,100.12558869701718,0.08054298642533941
123.3022439745128,0.07330316742081444,123.26899990765531,0.07058823529411762
153.67069904885022,0.05339366515837107,165.33382583802745,0.10588235294117643
197.02650290885583,0.09411764705882353,195.79093175731828,0.09321266968325792
252.94302336319151,0.060633484162895934,255.95715209160585,0.10678733031674215
282.51916151075807,0.07601809954751138,296.3763967125311,0.10769230769230775
325.21008403361327,0.06244343891402715,332.08606519530883,0.12398190045248869
368.37750484809294,0.08778280542986427,369.87902853449066,0.11040723981900458
391.4765906362545,0.07420814479638016,410.71936466894454,0.14570135746606339
417.2352017730169,0.07782805429864248,475.17406962785105,0.10950226244343897
434.35589620463566,0.07601809954751138,521.4054852710315,0.08506787330316734
462.61889371133066,0.08416289592760184,554.1675131591098,0.060633484162895934
486.05042016806726,0.09773755656108607,583.2339089481947,0.0343891402714932
531.2235663496168,0.08687782805429867,614.1785945147291,0.06153846153846165
554.2672453596823,0.06877828054298651,626.8002585649643,0.0923076923076922
571.3768584356819,0.06606334841628958,663.9117185335673,0.12307692307692308
598.3377966571245,0.0678733031674208,687.021885677348,0.11040723981900458
644.8905716132607,0.06968325791855201,730.2668759811617,0.14208144796380096
663.4352202419431,0.08416289592760184,759.6324683719641,0.14027149321266963
696.3523871086894,0.07239819004524883,780.6593406593407,0.15746606334841629
720.9973220057253,0.08506787330316734,793.9846707913933,0.14570135746606339
756.5407701542157,0.08778280542986427,,
795.6911995567458,0.08506787330316734,,
