att_laser,,unatt_laser,
X,Y,X,Y
-144.36804423335929,0.047257862526878025,-147.7422556177784,0.0913258193331915
-126.25646841993336,0.03718721202240016,-128.3050967604735,0.08537132865480501
-102.913447224782,0.04870867890645303,-108.81122846813636,0.07531485550908534
-74.055433472744,0.06131235084237141,-71.91465230027646,0.10646251270055052
-50.30126887360885,0.04309444483826008,-60.96973133905149,0.11477989650528109
-30.878287375062,0.03816544977670655,-35.83327426100516,0.09657616785992762
-10.101368115120152,0.0353016233075778,-14.942936130998788,0.08550837645613296
25.37038349755443,0.06951158999078466,-2.672432125894943,0.09794192008695446
64.30141064719643,0.05350062616667839,23.97391365988514,0.07052290824885987
81.01651662295316,0.04444129392027607,44.89260650740769,0.057404125611398626
116.78599276954711,0.057115852649984644,68.16474090876872,0.07405307057961774
152.82483873254418,0.05030599465986163,90.36648472389598,0.06812693461874719
172.00680513220388,0.06281042508447343,113.95052101793439,0.06221497601663473
217.0128305096761,0.10737458944731937,160.4097256681081,0.10166583965407239
242.09257815269015,0.09327284326929908,171.3830013468491,0.10793223222513648
267.15814843694625,0.08019659270811175,185.41858651733182,0.09269157156021846
289.47331112213794,0.06606649181257529,200.80810944920958,0.07951607948772477
347.30275749627845,0.08306987074974603,214.6877436733537,0.07555587060797242
383.0580562841143,0.0967699250962879,231.27525342028778,0.07572599891306919
428.8296590345218,0.08595732615013829,251.5843198412136,0.10670352779943759
452.569646274899,0.06876491576286003,282.1932373998725,0.09265849105644963
521.258949457716,0.10023865220576067,320.98249096193376,0.08690248340067586
561.5722690862693,0.08424186574041259,344.33968951584325,0.09739845466789532
593.5634791238393,0.07021100635618249,359.45984263131777,0.10370737931523355
629.3613099879492,0.0808345738522247,389.44495640462185,0.13478414971290864
640.249521514142,0.09325394012428823,422.94605514992566,0.11153800713593731
655.468916140923,0.09238439545379373,446.60097823775425,0.1004985704496586
673.3252994967038,0.10077266605231439,471.52477493442973,0.09767727605680387
689.7426809385412,0.11324874175941024,499.1280924363791,0.10103731008246497
724.0164457361592,0.13411308806502686,528.2271212873042,0.09620755653221813
739.1365988516338,0.1404220127123651,560.1474445310838,0.08730417523215428
764.2730559296804,0.12221828406701163,590.600411143404,0.08453959027433189
792.2591621180974,0.09788993643817501,612.7170908059828,0.08476642801446099
,,629.3896647054654,0.07878358261855811
,,655.4122067058908,0.09648637792112669
,,670.2062805699297,0.12638170175562968
,,692.0394130573474,0.14711845183242367
,,729.2195364003686,0.15775619668722396
,,778.7835826185581,0.17262352023817962
,,789.7568582972991,0.1788899128092437
