att_control,,unatt_control,
X,Y,X,Y
-149.99999999999994,0.11392405063291156,-144.39252336448595,0.1341890453093576
-124.76635514018687,0.11650893174021071,-120.56074766355135,0.13550514610197562
-95.32710280373828,0.11277357151307243,-99.5327102803738,0.13301786348042122
-78.50467289719626,0.10015083402342373,-81.30841121495325,0.12672719744469418
-43.45794392523362,0.10022477227019999,-64.48598130841123,0.12929433337276708
-25.23364485981307,0.10912397965219456,-29.43925233644859,0.12936827161954334
-9.813084112149511,0.1420679048858393,-12.616822429906563,0.15092274931976823
4.205607476635521,0.22311013841239802,11.214953271028037,0.2547704956820065
21.028037383177548,0.3611203123151544,25.23364485981307,0.3484709570566663
33.64485981308411,0.4535519933751332,37.850467289719575,0.43457352419259443
43.45794392523368,0.5244587720335976,63.0841121495327,0.5105761268188809
58.878504672897236,0.5789216846090146,79.90654205607478,0.5144090855317639
71.49532710280374,0.6105938719981072,85.51401869158877,0.48404116881580506
91.12149532710276,0.5625340115935171,99.5327102803738,0.438501123861351
107.94392523364485,0.5056074766355141,112.14953271028043,0.41827457707322846
130.37383177570092,0.5018573287590204,138.78504672897196,0.42592570684963926
142.99065420560743,0.5082130604519106,162.61682242990656,0.4601532000473205
168.22429906542055,0.5563675618123743,193.45794392523368,0.52350940494499
193.45794392523368,0.633635987223471,210.28037383177565,0.5703803383414172
211.68224299065417,0.6665858275168579,221.49532710280374,0.583062226428487
238.31775700934583,0.6793002484325092,231.3084112149533,0.5970069797704958
260.7476635514019,0.6616260499231043,262.1495327102804,0.6185910327694311
277.570093457944,0.6452058440790253,284.5794392523365,0.6034484798296463
304.2056074766355,0.6541227966402461,294.39252336448595,0.616127410386845
325.23364485981296,0.6516355140186916,312.61682242990656,0.5946468709333965
354.67289719626166,0.6479001537915534,346.2616822429906,0.5820596238022004
370.0934579439251,0.6264136992783629,365.88785046728975,0.570708624157104
392.5233644859812,0.5644357033006034,389.71962616822424,0.5315183958357981
407.94392523364485,0.5100378563823496,403.73831775700927,0.5036998698686858
433.177570093458,0.4037619779959778,417.7570093457943,0.45689400212942155
451.40186915887847,0.35823080563113696,428.9719626168224,0.417677156039276
479.43925233644853,0.3405684372412162,450.00000000000006,0.38227848101265827
497.66355140186914,0.3203537205725778,482.24299065420547,0.3620933396427305
521.4953271028037,0.27863184668165164,534.1121495327102,0.33308884419732643
548.1308411214955,0.24830829291375855,562.1495327102803,0.307831539098545
562.1495327102803,0.22428723530107664,598.5981308411215,0.2674021057612683
590.1869158878503,0.2218147403288775,621.0280373831774,0.2282089199100913
625.233644859813,0.20163551401869173,651.8691588785045,0.1966284159470012
657.827102803738,0.1896789601324972,698.1308411214952,0.19292854607831555
679.9065420560746,0.16630781970897912,740.1869158878505,0.1778273985567257
705.1401869158876,0.1385129539808353,771.0280373831774,0.16776588193540776
735.9813084112147,0.11199574115698585,796.2616822429907,0.14883177570093464
771.0280373831774,0.11080385661895209,,
799.0654205607477,0.11339465278599337,,
