attention,,attention_points_mean,,attention_points_lower,,attention_points_upper,,unattended,,unattended_lower,,unattended_upper,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.016652810601118,-0.17333597337227502,1.9974204114082006,9.880239520958071,1.9974204114082006,0.2994011976047801,1.9974204114082006,19.311377245508965,10.942678273187036,37.87425149700597,10.942678273187036,29.79041916167664,10.942678273187036,45.65868263473053
1.086053583510693,-0.17032790771348516,4.675160846252974,61.22754491017963,4.675160846252974,52.54491017964071,4.675160846252974,70.05988023952094,,,,,,
1.1723520257779902,0.08084557479678267,10.942678273187036,93.86227544910179,10.942678273187036,89.52095808383233,10.942678273187036,98.05389221556885,,,,,,
1.301187906356425,0.7616711022399443,25.612425267988378,99.99999999999999,25.612425267988378,99.7005988023952,25.612425267988378,100.29940119760478,,,,,,
1.3996740865443738,1.471073253441645,59.5179394616396,99.99999999999999,59.94842503189412,99.7005988023952,59.94842503189412,100.59880239520957,,,,,,
1.4970630397498177,2.4597241666358656,,,,,,,,,,,,
1.6364301874985034,4.299156316995621,,,,,,,,,,,,
1.7362815991251503,5.855830295427708,,,,,,,,,,,,
1.84195896719922,7.58546804924103,,,,,,,,,,,,
1.933799937920262,9.402339707159854,,,,,,,,,,,,
2.087460792994888,12.171264146090564,,,,,,,,,,,,
2.229959186686066,14.936177830809598,,,,,,,,,,,,
2.3492968940608456,17.60979551955755,,,,,,,,,,,,
2.4217214294083007,19.192063724916466,,,,,,,,,,,,
2.6439758365595556,24.040114216012412,,,,,,,,,,,,
2.904097973369585,29.566907850964725,,,,,,,,,,,,
3.1567257122043557,34.829068714423,,,,,,,,,,,,
3.407560952531776,39.67400846455236,,,,,,,,,,,,
3.652848156621404,44.583171619723494,,,,,,,,,,,,
3.915791923081664,49.13136689583794,,,,,,,,,,,,
4.1830994868646805,53.390787868707015,,,,,,,,,,,,
4.406960759960402,57.000466659274025,,,,,,,,,,,,
4.8070004945741385,62.48717842093589,,,,,,,,,,,,
5.485691006940379,69.91445350040655,,,,,,,,,,,,
6.392119890399809,78.00879722037405,,,,,,,,,,,,
7.2693015891476875,83.45796832261401,,,,,,,,,,,,
8.068163066617773,87.26978912545279,,,,,,,,,,,,
8.892786145512511,90.2817051083019,,,,,,,,,,,,
9.835816755750384,92.6727563391735,,,,,,,,,,,,
11.500941622445621,95.47964256671841,,,,,,,,,,,,
12.6324381621609,96.70693335551118,,,,,,,,,,,,
14.167634976906582,97.86203056849263,,,,,,,,,,,,
16.00023404974583,98.72835347822871,,,,,,,,,,,,
18.38663728461265,99.33766725807644,,,,,,,,,,,,
21.276347784002766,99.75927774081465,,,,,,,,,,,,
25.579688133311922,100.02783784283284,,,,,,,,,,,,
32.51200845025169,100.17222499445552,,,,,,,,,,,,
39.49755037948801,100.17222499445552,,,,,,,,,,,,
46.50631515145953,100.12024561987135,,,,,,,,,,,,
59.937425056978554,100.17222499445552,,,,,,,,,,,,
76.44622330456868,100.17222499445552,,,,,,,,,,,,
99.90328830799122,100.10003141864418,,,,,,,,,,,,
