attended_mean,,attended_lower,,attended_upper,,unattended_mean,,unattended_lower,,unattended_upper,,opposite_mean,,opposite_lower,,opposite_upper,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-10.020366598778004,0.028731521453142228,-10.020366598778004,0.016291330065582366,-10.018480802594853,0.04225715095717236,-9.92419099343743,0.01844559053933048,-10.159915516330994,0.012904936382801102,-10.018480802594853,0.025920539225823824,-10.065625707173567,-0.009245273689479971,-10.018480802594853,-0.021427945622661038,-9.971335898016143,0.0029390900464970615
-4.969450101832997,0.008815862559564736,-4.969450101832997,0.005825431937555414,-5.02112091725126,0.011581946596417647,-5.02112091725126,0.017673564530140795,-5.068265821829975,0.01462719162901388,-5.02112091725126,0.019888698324221965,-4.9268311080938325,0.0032763227371437886,-4.9268311080938325,0.00023051377028221465,-5.02112091725126,0.006597895559735001
0,0.018325066508151522,0,0.016411190910065376,0.02338387267104025,0.020225931014868748,0.02338387267104025,0.035178084124916575,0.02338387267104025,0.03268605860657531,-0.023761031907667984,0.0362850870876919,0.02338387267104025,0.007212019974641937,0.07052877724975559,0.00527434183908615,-0.07090593648638333,0.008872242451672119
5.05091649694501,0.02939026885859347,4.969450101832994,0.027475418782096916,4.926453948857212,0.032190924321645664,4.97359885343592,0.054896609645242955,4.97359885343592,0.05240458412690163,4.97359885343592,0.058496202060624836,4.97359885343592,0.007548124796758038,4.97359885343592,0.005332991002676868,4.926453948857212,0.009762694656573923
10.020366598778004,0.042368372328711074,10.020366598778004,0.04045449673062493,10.01810364335823,0.045542631986784626,10.065248547936946,0.07240169317428402,9.9238138342008,0.06963108412888666,10.01810364335823,0.07517004648262018,10.065248547936946,0.010101055215751331,9.970958738779515,0.007884793553139535,9.970958738779515,0.011484385968521416
14.989816700610994,0.040992408813182724,14.989816700610994,0.03812159541605353,14.968318624123107,0.0447711699118602,15.06260843328053,0.09738172538981846,14.921173719544399,0.09378044117164067,15.06260843328053,0.10070442608094021,15.015463528701822,0.015421211074550134,15.06260843328053,0.01237596604195379,15.06260843328053,0.01763690880289659
20.04073319755601,0.041052826474629434,20.04073319755601,0.036746606378935676,20.012823414045414,0.04566218605102729,20.059968318624122,0.0977183941461999,19.965678509466706,0.09301010696524686,19.918533604887983,0.10270075338008663,20.012823414045414,0.010496937069988832,19.918533604887983,0.006065541613295922,19.918533604887983,0.013264726444059738
25.010183299389,0.05403092994474709,24.92871690427699,0.04780985977255675,25.010183299389013,0.06095100791745664,25.02196952553369,0.10774585030098749,25.05732820396772,0.10082398014518287,25.010183299389013,0.11466800242392483,25.010183299389013,0.006126446513947836,24.915893490231582,-0.000520082736826244,25.05732820396772,0.011111061484895768
30.061099796334013,0.05122053420906461,30.061099796334013,0.042129625118155545,29.960398280153882,0.060456437566792365,30.031115637021955,0.11015934797288629,29.913253375575174,0.10060517365024815,30.007543184732597,0.11998872221698892,30.007543184732597,0.0258455359685395,29.960398280153882,0.017815112030729996,29.960398280153882,0.035536182383379245
35.030549898167,0.046495288396885576,35.052047974654904,0.033381953489950045,35.052047974654904,0.059409775570403695,35.052047974654904,0.1233717638744973,35.146337783812335,0.11035898070280106,35.052047974654904,0.13610878319046396,35.052047974654904,0.0007087300272529129,35.00490307007619,-0.009536827704637818,34.95775816549748,0.012337054577648388
40.08146639511202,0.05277580175211216,40.049407859998496,0.03399551397059164,40.00226295541978,0.07275979143274675,40.049407859998496,0.1372761271196259,39.90797314626235,0.11899958151566042,40.049407859998496,0.1563816560935759,39.955118050841065,-0.006985589088440436,40.00226295541978,-0.021383394815702728,40.049407859998496,0.0060294498203169455
