attended,,unattended,
X,Y,X,Y
-48,12.207293666026874,-47.25,11.991895926636808
-39.33333333333334,12.207293666026874,-37.21913580246914,11.958573256557901
-30,12.322456813819578,-27.959876543209873,12.025218596715721
-18,12.322456813819578,-17.15740740740739,12.025218596715721
-6.666666666666686,12.322456813819578,-6.740740740740733,12.058541266794627
7.333333333333314,12.437619961612285,4.833333333333343,12.058541266794627
20.666666666666657,12.610364683301345,14.478395061728378,12.225154617189169
33.333333333333314,12.898272552783112,27.209876543209873,12.325122627425891
38.666666666666686,13.58925143953935,37.24074074074073,12.658349328214971
41.484567901234584,14.291160162081468,40.71296296296296,13.491416080187673
43.799382716049394,15.190872254211985,43.4135802469136,14.924290893580721
45.34259259259258,16.123907016421413,46.1141975308642,16.22387502665814
46.1141975308642,17.05694177863084,47.27160493827162,17.623427169972274
48.043209876543216,18.42317125186607,49.200617283950635,19.28956067391768
49.97222222222223,19.65611004478567,51.90123456790127,21.588824909362337
51.12962962962962,21.25559820857326,53.44444444444446,23.354926423544466
53.05864197530866,23.32160375346556,55.37345679012347,25.021059927489873
54.98765432098767,25.287641288121137,56.53086419753089,26.487257410961828
56.91666666666666,27.220356152697804,57.68827160493831,28.086745574749415
59.61728395061729,28.986457666879936,60.388888888888886,29.452975047984648
63.08950617283952,30.485977820430797,63.475308641975346,30.852527191298787
65.79012345679013,31.48565792279804,67.71913580246914,31.885529963744936
68.10493827160494,32.01882064406057,72.34876543209879,31.685593943271492
71.96296296296296,31.585625933034766,74.2777777777778,30.719236510983155
74.6635802469136,30.68591384090425,76.97839506172843,29.486297718063554
75.82098765432099,29.75287907869482,78.90740740740742,28.786521646406484
78.90740740740742,28.819844316485394,83.15123456790124,28.120068244828325
82.37962962962965,28.120068244828325,87.78086419753086,27.287001492855623
87.39506172839506,27.287001492855623,89.7098765432099,26.353966730646196
90.0956790123457,25.954094689699296,91.63888888888889,25.52089997867349
93.18209876543213,24.82112390701642,92.02469135802474,24.85444657709533
98.19753086419755,24.254638515674984,96.26851851851856,24.35460652591171
102.82716049382717,23.254958413307744,100.89814814814818,23.78812113457027
104.75617283950615,22.12198763062487,103.98456790123456,22.78844103220303
108.61419753086423,20.889048837705268,107.07098765432099,21.488856899125615
113.62962962962965,20.32256344636383,109.77160493827162,20.789080827468545
117.87345679012347,19.389528684154403,114.78703703703704,20.255918106206018
119.41666666666671,18.58978460226061,117.87345679012347,19.322883343996587
121.7314814814815,18.08994455107699,120.18827160493831,18.45649392194498
128.29012345679016,18.856365962891875,122.11728395061729,17.989976540840267
134.07716049382717,19.28956067391768,129.44753086419755,18.189912561313715
141.79320987654316,19.98933674557475,131.76234567901238,18.48981659202389
149.50925925925927,19.12294732352314,134.84876543209876,18.189912561313715
156.83950617283946,19.856046065259118,141.79320987654316,18.323203241629347
161.08333333333334,19.856046065259118,150.28086419753092,17.456813819577736
166.2916666666666,20.605806142034535,156.45370370370372,17.85668586052463
169.95679012345684,21.088984858178716,161.46913580246914,17.79004052036682
175.74382716049385,20.72243548731073,169.570987654321,18.45649392194498
182.6882716049383,21.8554062699936,175.74382716049385,18.22323523139262
188.08950617283952,21.622147579441247,182.30246913580245,18.789720622734063
195.80555555555557,22.188632970782685,189.63271604938276,18.48981659202389
202.75000000000003,21.655470249520153,195.41975308641977,18.789720622734063
208.92283950617283,22.08866496054596,202.75000000000003,18.156589891234805
216.63888888888894,21.122307528257625,209.69444444444449,18.523139262102795
222.0401234567901,21.455534229046705,215.8672839506173,17.85668586052463
230.14197530864195,20.655790147152914,220.8827160493827,17.923331200682448
237.0864197530864,21.18895286841544,225.89814814814818,17.723395180209
244.03086419753086,20.655790147152914,229.7561728395062,17.323523139262104
251.36111111111117,20.622467477074004,236.31481481481487,17.490136489656646
258.30555555555554,20.222595436127108,243.64506172839506,17.123587118788652
264.0925925925926,19.689432714864576,252.51851851851856,17.423491149498826
269.87962962962956,18.856365962891875,261.7777777777777,17.456813819577736
274.50925925925924,18.123267221155896,269.1080246913581,16.923651098315204
280.2962962962963,17.223555129025378,273.35185185185185,16.390488377052677
285.3117283950618,16.52377905736831,277.5956790123457,15.790680315632333
290.32716049382714,15.890648325869055,282.2253086419753,15.190872254211985
293.0277777777777,15.224194924290895,287.24074074074076,14.657709532949454
295.3425925925926,14.691032203028364,290.71296296296293,14.124546811686926
301.1296296296297,13.757997440818936,294.9567901234568,13.391448069950947
308.45987654320993,12.958253358925145,299.9722222222222,12.791640008530603
317.71913580246917,12.625026658136061,305.75925925925924,12.058541266794627
331.9938271604939,11.691991895926634,312.3179012345679,11.5253785455321
344.7253086419754,11.991895926636808,320.80555555555554,11.258797184900832
356.2993827160494,11.79195990616336,331.2222222222223,11.158829174664106
364.78703703703707,11.425410535295374,342.7962962962963,11.225474514821926
369.80246913580254,11.558701215611006,350.89814814814815,10.958893154190658
376.3611111111112,11.258797184900832,358.2283950617284,10.958893154190658
387.5493827160494,11.292119854979738,369.03086419753095,10.858925143953936
397.96604938271605,11.492055875453186,376.746913580247,10.858925143953936
400.28086419753083,11.5253785455321,385.2345679012345,10.925570484111752
,,396.03703703703707,11.192151844743012
,,399.89506172839515,11.45873320537428
